"course_id,name,x,y,pathway,specificity,exposure,description,duration,prerequisites,learning_outcomes"
"R1,AI Fundamentals,-0.3,-0.2,Research,Ideas,Never,""Introduction to artificial intelligence concepts and history"",8 hours,None,""Understand basic AI concepts and terminology"""
"R2,ML Theory,-0.3,0.7,Research,Ideas,Sometimes,""Theoretical foundations of machine learning"",16 hours,R1,""Master ML algorithms and mathematical foundations"""
"R3,Deep Learning Concepts,0.7,1.3,Research,Hands-on,Sometimes,""Neural networks and deep learning architectures"",24 hours,""R2, Python basics"",""Build and train neural networks"""
"R4,Research Methods,0.7,2.3,Research,Hands-on,Daily,""Scientific research methodology in AI"",32 hours,R3,""Design and conduct AI research experiments"""
"R5,Advanced Research,1.7,2.3,Research,Issue Specific,Daily,""Cutting-edge AI research topics"",40 hours,""R4, Published paper"",""Contribute to AI research community"""
"R6,Neural Networks,0.3,1.7,Research,Ideas,Daily,""In-depth study of neural network architectures"",20 hours,R2,""Design custom neural architectures"""
"R7,Statistics for AI,0.0,-0.3,Research,Ideas,Never,""Statistical foundations for AI and ML"",12 hours,Basic math,""Apply statistical methods in AI"""
"R8,Computer Vision,1.3,0.7,Research,Hands-on,Sometimes,""Image processing and computer vision techniques"",28 hours,""R3, Linear algebra"",""Implement CV algorithms"""
"R9,NLP Research,1.3,2.3,Research,Hands-on,Daily,""Natural language processing research methods"",36 hours,""R3, Linguistics helpful"",""Develop NLP models"""
"R10,Paper Writing,2.3,1.7,Research,Issue Specific,Daily,""Academic writing for AI research"",16 hours,R5,""Write publishable research papers"""
"R11,Math for ML,-0.1,0.1,Research,Ideas,Never,""Mathematical foundations for machine learning"",20 hours,Calculus,""Understand ML mathematics"""
"R12,Reinforcement Learning,0.9,1.1,Research,Hands-on,Sometimes,""RL algorithms and applications"",24 hours,R3,""Implement RL solutions"""
"A1,AI for Management,0.3,0.3,Admin,Ideas,Never,""AI concepts for business leaders"",8 hours,None,""Make informed AI decisions"""
"A2,Data Governance,1.3,-0.3,Admin,Hands-on,Never,""Managing data for AI initiatives"",12 hours,A1,""Implement data governance"""
"A3,AI Strategy,1.3,0.7,Admin,Hands-on,Sometimes,""Developing organizational AI strategy"",16 hours,A1,""Create AI roadmaps"""
"A4,Implementation Planning,2.3,0.7,Admin,Issue Specific,Sometimes,""Planning AI project implementation"",20 hours,A3,""Execute AI projects"""
"A5,AI Leadership,2.3,2.3,Admin,Issue Specific,Daily,""Leading AI transformation"",24 hours,""A4, Leadership experience"",""Lead AI initiatives"""
"A6,Budget & ROI,2.3,0.3,Admin,Issue Specific,Never,""Financial planning for AI projects"",12 hours,A1,""Calculate AI ROI"""
"A7,AI Ethics Policy,-0.3,1.3,Admin,Ideas,Sometimes,""Developing ethical AI policies"",16 hours,None,""Create ethics guidelines"""
"A8,Team Building,0.7,0.3,Admin,Hands-on,Never,""Building AI teams"",12 hours,A1,""Recruit AI talent"""
"A9,Change Management,1.7,1.3,Admin,Issue Specific,Sometimes,""Managing organizational change for AI"",20 hours,A3,""Drive AI adoption"""
"A10,Risk Assessment,0.7,1.7,Admin,Hands-on,Daily,""Assessing AI project risks"",16 hours,A3,""Mitigate AI risks"""
"A11,AI Compliance,1.1,-0.1,Admin,Hands-on,Never,""Regulatory compliance for AI"",12 hours,A1,""Ensure compliance"""
"A12,Performance Metrics,1.9,0.9,Admin,Issue Specific,Sometimes,""Measuring AI project success"",16 hours,A4,""Track AI performance"""
"E1,Teaching AI Basics,0.3,1.3,Education,Ideas,Sometimes,""Fundamentals of teaching AI concepts"",12 hours,Teaching experience,""Teach AI effectively"""
"E2,Curriculum Design,1.0,1.3,Education,Hands-on,Sometimes,""Designing AI curriculum"",20 hours,E1,""Create AI courses"""
"E3,Hands-on Workshops,1.0,1.7,Education,Hands-on,Daily,""Running practical AI workshops"",24 hours,E2,""Facilitate workshops"""
"E4,Advanced Pedagogy,2.0,1.7,Education,Issue Specific,Daily,""Advanced teaching methods for AI"",28 hours,E3,""Apply pedagogy"""
"E5,AI Ethics Teaching,-0.3,2.3,Education,Ideas,Daily,""Teaching AI ethics and responsibility"",16 hours,E1,""Teach ethics"""
"E6,Learning Assessment,2.0,1.3,Education,Issue Specific,Sometimes,""Assessing AI learning outcomes"",16 hours,E2,""Evaluate learning"""
"E7,Educational Tools,1.0,0.3,Education,Hands-on,Never,""Tools for AI education"",12 hours,Basic computer skills,""Use teaching tools"""
"E8,Student Projects,1.7,0.7,Education,Issue Specific,Sometimes,""Managing student AI projects"",20 hours,E2,""Guide projects"""
"E9,Online Teaching,0.7,-0.1,Education,Hands-on,Never,""Online AI education methods"",16 hours,E1,""Teach online"""
"E10,AI Lab Setup,1.3,1.9,Education,Hands-on,Daily,""Setting up AI teaching labs"",20 hours,""E3, IT skills"",""Manage AI labs"""
"G1,AI Overview,-0.1,0.3,General,Ideas,Never,""General introduction to AI"",4 hours,None,""Understand AI basics"""
"G2,Basic Python,1.0,0.1,General,Hands-on,Never,""Python programming for AI"",16 hours,G1,""Code in Python"""
